uri_path	country	hits
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Algeria	9
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Republic of Lithuania	9
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Ukraine	9
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Panama	8
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Colombia	8
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Botswana	8
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Malaysia	8
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Saudi Arabia	8
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	France	8
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Slovenia	8
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Nigeria	8
/mediawiki/1.19/mediawiki-1.19.17.tar.gz	United States	8
/mediawiki/1.25/mediawiki-core-1.25.0.tar.gz	Germany	8
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	Republic of Korea	8
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Tunisia	8
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Italy	8
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Zimbabwe	8
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Myanmar [Burma]	8
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	United Kingdom	8
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	Germany	8
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Ecuador	8
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Ethiopia	8
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Bangladesh	8
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	Pakistan	8
/mediawiki/1.23/mediawiki-1.23.0.tar.gz	United States	8
/mediawiki/1.22/mediawiki-1.22.15.tar.gz	United States	8
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Australia	8
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Australia	8
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Switzerland	7
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Poland	7
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Kenya	7
/mediawiki/1.15/mediawiki-1.15.0.tar.gz	France	7
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Switzerland	7
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Uganda	7
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Finland	7
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Czech Republic	7
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	Canada	7
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	South Africa	7
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Malaysia	7
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Yemen	7
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Bangladesh	7
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Egypt	7
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	China	7
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Russia	7
/mediawiki/1.25/mediawiki-core-1.25.0-rc.0.tar.gz	Angola	7
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Pakistan	7
/mediawiki/1.23/mediawiki-1.23.4.patch.gz	United States	7
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	France	7
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Morocco	7
/mediawiki/1.23/mediawiki-1.23.9.patch.gz	Germany	7
/mediawiki/1.24/mediawiki-1.24.1.tar.gz	France	7
/mediawiki/1.24/mediawiki-1.24.2.patch.gz	Germany	7
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Singapore	7
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Kazakhstan	7
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Iran	7
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Poland	7
/mediawiki/1.21/mediawiki-1.21.2.tar.gz	Brazil	7
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Latvia	7
/mediawiki/1.23/mediawiki-1.23.2.tar.gz	Germany	7
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Tunisia	7
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Guatemala	7
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Madagascar	6
/mediawiki/1.23/mediawiki-1.23.8.tar.gz	United States	6
/mediawiki/1.23/mediawiki-1.23.9.patch.gz	United States	6
